observed,place,area,kind,built_m2,asking_old,asking_new,currency,asking_new_usd,pct,days_listed,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location,trust_band,trust_score
2026-09-25,"Encarnación, Itapúa",,quinta,560,15000000000,4500000000,PYG,765991,-70,1,remax,1,https://www.remax.com.py/es-py/propiedades/quinta/venta/encarnacion/143085042-40,-27.30696,-55.88198,,,,,,alta,75
2026-09-22,"Yataity del Norte, San Pedro",,terreno,,1360000000,870000000,PYG,148092,-36,168,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/yataity-del-norte/114006001-283,-24.90799,-56.34229,,,,,,alta,85
2026-09-25,"San Bernardino, Cordillera",,otro,540,2200000000,1500000000,PYG,255330,-31.8,248,remax,1,https://www.remax.com.py/es-py/propiedades/otro/venta/san-bernardino/143054126-10,-25.27939,-57.29113,,,,,,alta,85
2026-09-25,"Tobatí, Cordillera",,otro,,990000000,700000000,PYG,119154,-29.3,149,remax,1,https://www.remax.com.py/es-py/propiedades/otro/venta/tobati/143025148-191,-25.29561,-57.03393,,,,,,alta,85
2026-09-22,"Caacupé, Cordillera",,terreno,,700000000,500000000,PYG,85110,-28.6,101,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/caacupe/143036165-8,-25.34123,-57.49906,,,,,,alta,85
2026-09-25,"Fernando de la Mora, Central",,terreno,,1200000,900000,USD,900000,-25,147,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143063128-261,-25.30545,-57.53396,336304,157424,620077,19,exact,alta,85
2026-09-24,"Lambaré, Central",,terreno,,5500000,4200000,USD,4200000,-23.6,102,infocasas,1,https://www.infocasas.com.py/terreno-en-venta-de-33917m2-ubicado-en-valle-apua-i/193882468,-25.34791,-57.60131,590505,276415,1088773,19,exact,media,45
2026-09-22,"Loreto, Concepción",,terreno,,4000000000,3200000000,PYG,544704,-20,290,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/loreto/143109001-10,-23.26598,-57.31839,,,,,,alta,75
2026-09-23,"Ypacaraí, Central",,terreno,,220000000,180000000,PYG,30640,-18.2,221,remax,2,https://www.remax.com.py/es-py/propiedades/terreno/venta/ypacarai/143061085-21,-25.36485,-57.26465,57021,26691,105134,19,exact,alta,85
2026-09-22,"Loma Plata, Boquerón",,terreno,,180000000,148000000,PYG,25193,-17.8,152,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/loma-plata/143078013-63,-22.38755,-59.84993,,,,,,alta,85
2026-09-25,"Limpio, Central",,casa,360,315000000,260000000,PYG,44257,-17.5,365,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143094058-4,,,64971,38417,110873,39,shared_point,media,65
2026-09-21,"Bahia Negra, Alto Paraguay",,rural,200,32000000,26500000,USD,26500000,-17.2,166,remax,1,https://www.remax.com.py/es-py/propiedades/rural/venta/bahia-negra/143054072-72,-19.98383,-59.45347,,,,,,alta,75
2026-09-22,"Loma Plata, Boquerón",,casa,90,298000000,251000000,PYG,42725,-15.8,60,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/loma-plata/143078013-92,-22.39855,-59.82794,,,,,,alta,85
2026-09-22,"San Juan del Paraná, Itapúa",,terreno,,130000,110000,USD,110000,-15.4,205,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-juan-del-parana/143085032-74,-27.26667,-56,,,,,,alta,85
2026-09-23,Asunción,Loma Pytá,terreno,,470000000,400000000,PYG,68088,-14.9,24,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143098095-2,-25.23423,-57.55167,93333,68815,191175,16,exact,alta,85
2026-09-24,"Fernando de la Mora, Central",,casa,75,700000000,600000000,PYG,102132,-14.3,107,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143080161-44,-25.31217,-57.53883,92399,55735,151700,42,exact,alta,70
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,95000,81500,USD,81500,-14.2,121,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143098100-7,-25.17516,-57.51769,100721,47147,185709,19,exact,alta,85
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,290000,250000,USD,250000,-13.8,121,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143098100-6,,,220228,100248,536696,0,shared_point,media,65
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,98500,85000,USD,85000,-13.7,120,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143098100-9,-25.17495,-57.5168,102939,48186,189800,19,exact,alta,85
2026-09-23,"Encarnación, Itapúa",,casa,1400,1100000,950000,USD,950000,-13.6,151,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143011007-2212,-27.40544,-55.82363,,,,,,alta,85
2026-09-25,"Mariano Roque Alonso, Central",,terreno,,97000,84000,USD,84000,-13.4,120,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/mariano-roque-alonso/143098100-8,,,124854,56833,304268,0,none,media,65
2026-09-22,"Lambaré, Central",,casa,180,150000,130000,USD,130000,-13.3,219,infocasas,1,https://www.infocasas.com.py/casa-familiar-con-terreno-de-579m2-ideal-para-inversion-inmobiliaria/193414667,-25.32922,-57.60459,109642,66136,180009,42,exact,alta,75
