first_seen,place,area,kind,built_m2,bedrooms,asking,currency,asking_usd,asking_usd_m2,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location
2026-09-21,"Ciudad del Este, Alto Paraná",,casa,100,1,320000000,PYG,54289,543,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/143050197-2,-25.51967,-54.70388,,,,,
2026-09-22,"Ciudad del Este, Alto Paraná",,casa,150,3,650000000,PYG,110274,735,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/143050185-6,-25.48913,-54.67498,,,,,
2026-09-21,"Ciudad del Este, Alto Paraná",,casa,252,5,900000000,PYG,152687,606,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/114001120-4,-25.50572,-54.67568,,,,,
2026-09-21,"Ciudad del Este, Alto Paraná",,casa,255,3,300000,USD,300000,1176,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/114001120-5,-25.51079,-54.65385,,,,,
2026-09-24,"Ciudad del Este, Alto Paraná",,casa,400,6,310000,USD,310000,775,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/ciudad-del-este/143050197-3,,,,,,,
2026-09-21,"Ciudad del Este, Alto Paraná",,departamento,42,1,71832,USD,71832,1727,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/ciudad-del-este/143099027-87,-25.52871,-54.62642,,,,,
2026-09-19,"Ciudad del Este, Alto Paraná",,departamento,47,1,83903,USD,83903,1785,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/ciudad-del-este/143050056-220,-25.52365,-54.62109,,,,,
2026-09-25,"Hernandarias, Alto Paraná",,casa,780,3,650000000,PYG,110274,141,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/hernandarias/143050150-63,,,,,,,
2026-09-19,"Minga Guazú, Alto Paraná",,casa,72,2,380000000,PYG,64468,895,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/minga-guazu/114001129-2,,,,,,,
2026-09-25,"Presidente Franco, Alto Paraná",,casa,300,5,170000,USD,170000,567,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/presidente-franco/143050140-16,,,,,,,
2026-09-24,"Santa Rita, Alto Paraná",,casa,420,4,250000,USD,250000,595,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/santa-rita/143065021-212,,,,,,,
2026-09-23,Asunción,,casa,60,2,270000000,PYG,45806,763,infocasas,1,https://www.infocasas.com.py/casa-en-venta-en-itaugua-/194274692,,,71459,43340,136780,27,shared_point
2026-09-22,Asunción,Itá Enramada,casa,130,3,610000000,PYG,103488,796,infocasas,1,https://www.infocasas.com.py/casa-en-venta-en-asuncion-ita-enramada-3-dormitorios-quincho/194288827,,,106667,64693,204171,27,shared_point
2026-09-19,Asunción,San Blás,casa,180,3,450000000,PYG,76343,424,infocasas,2,https://www.infocasas.com.py/casa-venta-san-blas-asuncion-paraguay-gran-potencial/194279018,-25.263,-57.54732,248987,170157,386950,50,exact
2026-09-23,Asunción,Sajonia,casa,200,0,500000000,PYG,84826,424,infocasas,1,https://www.infocasas.com.py/se-vende-casa-a-refaccionar-o-demoler/194271026,-25.28029,-57.65596,83752,57236,130158,50,exact
2026-09-20,Asunción,Herrera,casa,200,4,800000000,PYG,135721,679,infocasas,1,https://www.infocasas.com.py/casa-4-dorm-en-esquina-santa-librada/194283597,-25.3273,-57.62985,111481,76186,173253,50,exact
2026-09-21,Asunción,San Vicente,casa,250,4,800000000,PYG,135721,543,infocasas,1,https://www.infocasas.com.py/vendo-casa-a-refaccionar-en-asuncion/194284373,-25.3087,-57.62704,124711,85227,193813,50,exact
2026-09-22,Asunción,,casa,272,5,240000,USD,240000,882,infocasas,1,https://www.infocasas.com.py/exclusiva-residencia-en-santa-librada-lujo-y-confort-con-3-dormitorios-en-suite-amplio-patio-y-piscina-privada/194290662,,,194738,118109,372749,27,shared_point
2026-09-19,Asunción,Barrio Jara,casa,300,3,153000,USD,153000,510,infocasas,1,https://www.infocasas.com.py/venta-propiedad-en-barrio-jara-/194274995,,,116668,70759,223315,27,shared_point
