date,market_id,market,metric,property_kind,value,n,median_sources
2026-09-23,py,Paraguay,active_sale,,27676,27676,remax uprop cb psir prestige
2026-09-23,py,Paraguay,active_rent,,8666,8666,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_price_usd,casa,126541,4608,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_price_usd,departamento,101612,2968,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_price_usd,duplex,122499,272,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_price_usd,terreno,65801,6088,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_usd_per_m2_built,casa,771,3411,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_usd_per_m2_built,departamento,1713,1002,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_rent_usd_month,departamento,750,595,remax uprop cb psir prestige
2026-09-23,py,Paraguay,asking_rent_usd_month,casa,1012,325,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,active_sale,,10837,10837,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,active_rent,,7520,7520,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_price_usd,casa,219500,1064,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_price_usd,departamento,113014,2192,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_price_usd,duplex,190233,36,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_price_usd,terreno,219337,846,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_usd_per_m2_built,casa,942,709,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_usd_per_m2_built,departamento,1795,796,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_rent_usd_month,departamento,903,361,remax uprop cb psir prestige
2026-09-23,d:asuncion,Asunción,asking_rent_usd_month,casa,1603,95,remax uprop cb psir prestige
2026-09-23,d:central,Central,active_sale,,12416,12416,remax uprop cb psir prestige
2026-09-23,d:central,Central,active_rent,,812,812,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_price_usd,casa,100795,2635,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_price_usd,departamento,75852,553,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_price_usd,duplex,116249,204,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_price_usd,terreno,62427,2641,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_usd_per_m2_built,casa,728,1948,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_usd_per_m2_built,departamento,1225,141,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_rent_usd_month,departamento,591,183,remax uprop cb psir prestige
2026-09-23,d:central,Central,asking_rent_usd_month,casa,675,138,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,active_sale,,2285,2285,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,active_rent,,187,187,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_price_usd,casa,96171,719,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_price_usd,departamento,79356,232,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_price_usd,duplex,126541,67,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_price_usd,terreno,84680,526,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_usd_per_m2_built,casa,865,521,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_usd_per_m2_built,departamento,1227,49,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_rent_usd_month,departamento,641,66,remax uprop cb psir prestige
2026-09-23,c:central:luque,Luque,asking_rent_usd_month,casa,675,41,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,active_sale,,1037,1037,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,active_rent,,155,155,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_price_usd,casa,118104,340,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_price_usd,departamento,37000,40,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_price_usd,duplex,120551,36,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_price_usd,terreno,82673,221,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_usd_per_m2_built,casa,724,244,remax uprop cb psir prestige
2026-09-23,c:central:san-lorenzo,San Lorenzo,asking_rent_usd_month,departamento,384,28,remax uprop cb psir prestige
2026-09-23,c:central:lambare,Lambaré,active_sale,,994,994,remax uprop cb psir prestige
