transaction_id,close_date,operation,kind,place,barrio,department_market,city_market,area_m2,area_basis,bedrooms,terminal_ask,ask_currency,ask_usd_sale_date_fx,close_price,close_currency,close_usd_sale_date_fx,fx_sale_date,close_usd_per_m2,ask_to_close_pct,reported_equals_ask,reported_below_ask,deal_records,deal_record_kept,in_ask_to_close_base,held_out_because,source,mls_id
309439,2024-02-06,rent,casa,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,120,built,2,3000000,PYG,411.61,3000000,PYG,411.61,7288.455,3,0,1,0,1,1,1,,remax,143099002-3
310117,2024-02-06,rent,departamento,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,89,built,2,600,USD,600,4380000,PYG,600.95,7288.455,7,0.158,0,0,1,1,0,cross-currency,remax,143099002-2
309509,2024-02-22,rent,duplex,Asunción,Villa Aurelia,Asunción,,233,built,3,6500000,PYG,893.28,6500000,PYG,893.28,7276.59,4,0,1,0,1,1,1,,remax,143063076-26
312175,2024-02-22,rent,duplex,Asunción,San Vicente,Asunción,,315,land,4,6000000,PYG,824.56,5000000,PYG,687.14,7276.59,2,-16.666,0,1,1,1,1,,remax,143063090-3
308868,2024-02-23,sale,terreno,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,480,land,,195000000,PYG,26782.84,150000000,PYG,20602.19,7280.78,43,-23.077,0,1,1,1,1,,remax,143099006-76
2113,2024-02-26,sale,terreno,Asunción,Recoleta,Asunción,,648,built,5,390000,USD,390000,2500000000,PYG,342606.32,7297.005,529,-12.152,0,0,1,1,0,cross-currency,remax,143098017-7
313035,2024-02-28,rent,duplex,Asunción,Las Lomas (Carmelitas),Asunción,,322,land,4,8000000,PYG,1098.2,8000000,PYG,1098.2,7284.625,3,0,1,0,1,1,1,,remax,143063031-140
311484,2024-02-29,rent,departamento,Asunción,San Jorge,Asunción,,45,land,1,2600000,PYG,355.66,2600000,PYG,355.66,7310.275,8,0,1,0,1,1,1,,remax,143063031-156
309800,2024-03-01,sale,casa,"Lambaré, Central",,Central,Lambaré,390,built,4,250000,USD,250000,187500000,PYG,25648.83,7310.275,66,-89.74,0,0,1,1,0,cross-currency,remax,143063051-81
312835,2024-03-02,sale,terreno,"San Antonio, Central",,Central,San Antonio,360,land,,130000000,PYG,17783.19,115000000,PYG,15731.28,7310.275,44,-11.538,0,1,1,1,1,,remax,143063148-95
308345,2024-03-04,rent,duplex,"Luque, Central",,Central,Luque,100,land,2,3300000,PYG,452.38,3300000,PYG,452.38,7294.715,5,0,1,0,1,1,1,,remax,143063031-172
309976,2024-03-04,sale,departamento,Asunción,Ycuá Satí,Asunción,,,,1,115000,USD,115000,821250000,PYG,112581.51,7294.715,,-2.103,0,0,1,1,0,cross-currency,remax,143063031-53
311841,2024-03-04,rent,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,35,land,1,2900000,PYG,397.55,2750000,PYG,376.99,7294.715,11,-5.172,0,1,1,1,1,,remax,143063031-180
311932,2024-03-04,sale,duplex,"Fernando de la Mora, Central",,Central,Fernando de la Mora,119,built,3,795000000,PYG,108983.01,795000000,PYG,108983.01,7294.715,916,0,1,0,1,1,1,,remax,143063147-38
313253,2024-03-04,sale,terreno,"Altos, Cordillera",,Cordillera,Altos,654,land,,105000,USD,105000,766500000,PYG,105076.07,7294.715,161,0.072,0,0,1,1,0,cross-currency,remax,143063080-47
313674,2024-03-04,rent,duplex,"Luque, Central",,Central,Luque,214,built,3,6000000,PYG,822.51,5000000,PYG,685.43,7294.715,3,-16.666,0,1,1,1,1,,remax,143063090-10
311581,2024-03-05,rent,departamento,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,89,built,2,800,USD,800,5840000,PYG,801.87,7282.995,9,0.234,0,0,1,1,0,cross-currency,remax,143099002-5
312036,2024-03-13,rent,edificio,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,,,,10000000,PYG,1369.93,7000000,PYG,958.95,7299.665,,-30,0,1,1,1,1,,remax,143099006-70
310703,2024-03-14,rent,departamento,Asunción,Ycuá Satí,Asunción,,200,land,3,1750,USD,1750,12775000,PYG,1751.74,7292.735,9,0.099,0,0,1,1,0,cross-currency,remax,143063051-196
311918,2024-03-19,rent,departamento,Asunción,Ycuá Satí,Asunción,,55,land,1,3200000,PYG,437.45,3200000,PYG,437.45,7315.06,8,0,1,0,1,1,1,,remax,143063031-199
313408,2024-03-23,sale,terreno,"Mariano Roque Alonso, Central",,Central,Mariano Roque Alonso,1193,land,,600000000,PYG,81630.15,525000000,PYG,71426.38,7350.225,60,-12.5,0,1,1,1,1,,remax,143063147-7
310856,2024-03-26,rent,departamento,Asunción,San Jorge,Asunción,,70,land,2,4200000,PYG,569.5,3800000,PYG,515.26,7374.92,7,-9.524,0,1,1,1,1,,remax,143063147-27
312882,2024-03-28,rent,casa,"San Lorenzo, Central",,Central,San Lorenzo,240,built,3,3500000,PYG,473.3,3000000,PYG,405.69,7394.865,2,-14.285,0,1,1,1,1,,remax,143063094-177
313071,2024-04-05,rent,departamento,Asunción,Villa Morra,Asunción,,81,land,2,900,USD,900,6552000,PYG,889.65,7364.68,11,-1.15,0,0,1,1,0,cross-currency,remax,143063102-221
313387,2024-04-05,rent,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,50,land,1,680,USD,680,4725500,PYG,641.64,7364.68,13,-5.641,0,0,1,1,0,cross-currency,remax,143063102-207
313389,2024-04-05,sale,departamento,Asunción,Las Mercedes,Asunción,,155,built,3,168000,USD,168000,1128400000,PYG,153217.79,7364.68,989,-8.799,0,0,1,1,0,cross-currency,remax,143063144-316
313521,2024-04-11,rent,departamento,"Fernando de la Mora, Central",,Central,Fernando de la Mora,28,built,1,1800000,PYG,243.36,1800000,PYG,243.36,7396.31,9,0,1,0,1,1,1,,remax,143063094-186
309562,2024-04-15,rent,departamento,Asunción,Herrera,Asunción,,65,land,2,4000000,PYG,540.19,4000000,PYG,540.19,7404.84,8,0,1,0,1,1,1,,remax,143063084-38
312153,2024-04-17,rent,departamento,Asunción,San Jorge,Asunción,,25,land,1,2500000,PYG,337.81,2500000,PYG,337.81,7400.56,14,0,1,0,1,1,1,,remax,143063031-188
308566,2024-04-19,sale,departamento,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,85,land,3,37000,USD,37000,255500000,PYG,34480.94,7409.89,408,-6.808,0,0,1,1,0,cross-currency,remax,143099006-64
312941,2024-04-22,rent,departamento,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,89,built,3,800,USD,800,5856000,PYG,789.23,7419.93,9,-1.346,0,0,1,1,0,cross-currency,remax,143099002-4
312540,2024-04-23,rent,duplex,"Luque, Central",,Central,Luque,166,built,3,4250000,PYG,572.09,4250000,PYG,572.09,7428.91,3,0,1,0,1,1,1,,remax,143063094-175
309121,2024-04-26,rent,casa,Asunción,Madame Lynch,Asunción,,300,built,5,7500000,PYG,1007.11,7000000,PYG,939.97,7447.035,3,-6.667,0,1,1,1,1,,remax,143063076-34
310436,2024-04-26,rent,local,Asunción,Los Laureles,Asunción,,28,built,,2200000,PYG,295.42,1800000,PYG,241.71,7447.035,9,-18.181,0,1,1,1,1,,remax,143063094-168
313438,2024-04-30,sale,terreno,Asunción,Pinoza,Asunción,,444,land,2,160000,USD,160000,1095000000,PYG,146131.13,7493.27,329,-8.668,0,0,1,1,0,cross-currency,remax,143063102-185
313073,2024-05-01,rent,deposito,"Lambaré, Central",,Central,Lambaré,,,,6700000,PYG,894.14,6700000,PYG,894.14,7493.27,,0,1,0,1,1,1,,remax,143063009-37
309750,2024-05-02,rent,casa,Asunción,Vista Alegre,Asunción,,120,built,2,2650000,PYG,353.97,2650000,PYG,353.97,7486.55,3,0,1,0,1,1,1,,remax,143063075-43
309189,2024-05-03,rent,duplex,Asunción,Mburucuyá,Asunción,,200,built,3,1800,USD,1800,13140000,PYG,1757.14,7478.065,9,-2.381,0,0,1,1,0,cross-currency,remax,143063144-374
308856,2024-05-06,sale,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,95,land,1,175520,USD,175520,1281296000,PYG,171707.05,7462.105,1807,-2.172,0,0,1,1,0,cross-currency,remax,143063080-60
313376,2024-05-20,sale,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,70,land,1,140000,USD,140000,1045000000,PYG,139127.24,7511.11,1988,-0.623,0,0,1,1,0,cross-currency,remax,143063080-40
312702,2024-05-27,rent,departamento,Asunción,Villa Morra,Asunción,,55,built,1,650,USD,650,650,USD,650,7529.33,12,0,1,0,1,1,1,,remax,143063076-36
311127,2024-05-28,rent,duplex,Asunción,Los Laureles,Asunción,,280,built,3,5500000,PYG,729.8,5500000,PYG,729.8,7536.305,3,0,1,0,1,1,1,,remax,143063159-1
309262,2024-05-29,sale,terreno,Asunción,Mburicaó,Asunción,,337,built,,150000,USD,150000,971100000,PYG,128657.28,7547.96,382,-14.228,0,0,1,1,0,cross-currency,remax,143037112-5
310611,2024-06-03,rent,departamento,"San Lorenzo, Central",,Central,San Lorenzo,80,built,2,2000000,PYG,265.71,2000000,PYG,265.71,7526.91,3,0,1,0,1,1,1,,remax,143063076-32
312604,2024-06-05,sale,departamento,Asunción,Hipódromo,Asunción,,154,land,2,300000000,PYG,39870.87,300000000,PYG,39870.87,7524.29,259,0,1,0,1,1,1,,remax,143037037-293
311525,2024-06-13,sale,terreno,"San Bernardino, Cordillera",,Cordillera,San Bernardino,360,land,,20000,USD,20000,140000000,PYG,18615.2,7520.735,52,-6.924,0,0,1,1,0,cross-currency,remax,143063144-346
308306,2024-06-19,sale,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,535,land,1,80715,USD,80715,601000000,PYG,79856.6,7525.99,149,-1.063,0,0,1,1,0,cross-currency,remax,143063080-61
312546,2024-06-19,sale,departamento,Asunción,Las Lomas (Carmelitas),Asunción,,1319,land,2,209470,USD,209470,1539604500,PYG,204571.69,7525.99,155,-2.338,0,0,1,1,0,cross-currency,remax,143063080-14
309019,2024-06-25,sale,local,"San Lorenzo, Central",,Central,San Lorenzo,,,,340000,USD,340000,2304000000,PYG,305524.91,7541.12,,-10.14,0,0,1,1,0,cross-currency,remax,143063068-66
312476,2024-06-25,sale,casa,Asunción,Las Lomas (Carmelitas),Asunción,,350,built,4,410000,USD,410000,2700000000,PYG,358037,7541.12,1023,-12.674,0,0,1,1,0,cross-currency,remax,143063144-373
311356,2024-06-26,sale,duplex,"Luque, Central",,Central,Luque,120,built,3,811000000,PYG,107594.57,800000000,PYG,106135.21,7537.555,884,-1.356,0,1,1,1,1,,remax,143063051-186
311675,2024-06-28,rent,departamento,Asunción,Ycuá Satí,Asunción,,58,land,,3800000,PYG,504.08,3800000,PYG,504.08,7538.495,9,0,1,0,1,1,1,,remax,143063084-46
1554,2024-07-01,sale,casa,Asunción,Villa Aurelia,Asunción,,400,built,5,295000,USD,295000,1937000000,PYG,257120.94,7533.42,643,-12.84,0,0,1,1,0,cross-currency,remax,143063130-33
310022,2024-07-01,sale,terreno,"Lambaré, Central",,Central,Lambaré,8120,land,,2700000,USD,2700000,20196000000,PYG,2680854.11,7533.42,330,-0.709,0,0,1,1,0,cross-currency,remax,143037037-346
309003,2024-07-03,rent,local,"Capiatá, Central",,Central,Capiatá,,,,1300000,PYG,172.47,1000000,PYG,132.67,7537.55,,-23.076,0,1,1,1,1,,remax,143063129-1
309546,2024-07-03,sale,casa,Asunción,Mburucuyá,Asunción,,322,built,2,205000,USD,205000,1541600000,PYG,204522.69,7537.55,635,-0.233,0,0,1,1,0,cross-currency,remax,143037112-17
311021,2024-07-03,rent,local,"Fernando de la Mora, Central",,Central,Fernando de la Mora,65,built,,2500000,PYG,331.67,3000000,PYG,398.01,7537.55,6,20.002,0,0,1,1,1,,remax,143063031-212
2659,2024-07-04,rent,casa,"Lambaré, Central",,Central,Lambaré,300,built,4,8500000,PYG,1128.06,7500000,PYG,995.35,7535.06,3,-11.764,0,1,1,1,1,,remax,143063130-49
311376,2024-07-04,sale,terreno,"Altos, Cordillera",,Cordillera,Altos,1800,land,1,315000,USD,315000,2300000000,PYG,305239.77,7535.06,170,-3.098,0,0,1,1,0,cross-currency,remax,143063075-45
312768,2024-07-04,rent,departamento,Asunción,Ycuá Satí,Asunción,,64,land,1,550,USD,550,3700000,PYG,491.04,7535.06,8,-10.72,0,0,1,1,0,cross-currency,remax,143063080-71
309968,2024-07-10,rent,casa,"Fernando de la Mora, Central",,Central,Fernando de la Mora,120,built,3,3500000,PYG,464.13,3500000,PYG,464.13,7541.05,4,0,1,0,1,1,1,,remax,143036045-106
311352,2024-07-11,rent,local,"Luque, Central",,Central,Luque,100,built,,5000000,PYG,662.85,5000000,PYG,662.85,7543.17,7,0,1,0,1,1,1,,remax,143063148-101
308465,2024-07-15,sale,departamento,Asunción,Recoleta,Asunción,,77,land,2,110000,USD,110000,816410000,PYG,108030.04,7557.25,1403,-1.791,0,0,1,1,0,cross-currency,remax,143063102-186
311170,2024-07-19,rent,departamento,"Luque, Central",,Central,Luque,30,land,1,1150000,PYG,151.95,1150000,PYG,151.95,7568.035,5,0,1,0,1,1,1,,remax,143037037-314
309523,2024-07-22,sale,casa,"Ypané, Central",,Central,Ypané,70,built,2,250000000,PYG,33036.99,250000000,PYG,33036.99,7567.275,472,0,1,0,1,1,1,,remax,143063094-145
311937,2024-07-23,rent,departamento,Asunción,San Jorge,Asunción,,50,land,1,4500000,PYG,594.19,4500000,PYG,594.19,7573.38,12,0,1,0,1,1,1,,remax,143063084-41
