market_id,market,property_kind,month,rent_closes,median_rent_usd
py,Paraguay,casa,2024-02-01,1,
py,Paraguay,casa,2024-03-01,1,
py,Paraguay,casa,2024-04-01,1,
py,Paraguay,casa,2024-05-01,1,
py,Paraguay,casa,2024-07-01,2,
py,Paraguay,casa,2024-08-01,1,
py,Paraguay,casa,2024-09-01,1,
py,Paraguay,casa,2024-10-01,2,
py,Paraguay,casa,2024-11-01,2,
py,Paraguay,casa,2024-12-01,3,
py,Paraguay,casa,2025-02-01,1,
py,Paraguay,casa,2025-03-01,1,
py,Paraguay,casa,2025-05-01,2,
py,Paraguay,casa,2025-06-01,4,
py,Paraguay,casa,2025-07-01,7,
py,Paraguay,casa,2025-08-01,9,
py,Paraguay,casa,2025-09-01,42,418
py,Paraguay,casa,2025-10-01,30,494
py,Paraguay,casa,2025-11-01,43,429
py,Paraguay,casa,2025-12-01,30,394
py,Paraguay,casa,2026-01-01,45,537
py,Paraguay,casa,2026-02-01,37,543
py,Paraguay,casa,2026-03-01,52,472
py,Paraguay,casa,2026-04-01,36,600
py,Paraguay,casa,2026-05-01,44,569
py,Paraguay,casa,2026-06-01,43,492
py,Paraguay,casa,2026-07-01,42,616
py,Paraguay,casa,2026-08-01,39,566
py,Paraguay,casa,2026-09-01,36,675
py,Paraguay,departamento,2024-02-01,2,
py,Paraguay,departamento,2024-03-01,5,
py,Paraguay,departamento,2024-04-01,6,
py,Paraguay,departamento,2024-05-01,1,
py,Paraguay,departamento,2024-06-01,3,
py,Paraguay,departamento,2024-07-01,3,
py,Paraguay,departamento,2024-08-01,4,
py,Paraguay,departamento,2024-09-01,3,
py,Paraguay,departamento,2024-10-01,6,
py,Paraguay,departamento,2024-11-01,5,
py,Paraguay,departamento,2024-12-01,4,
py,Paraguay,departamento,2025-01-01,2,
py,Paraguay,departamento,2025-02-01,2,
py,Paraguay,departamento,2025-03-01,2,
py,Paraguay,departamento,2025-04-01,3,
py,Paraguay,departamento,2025-05-01,4,
py,Paraguay,departamento,2025-06-01,6,
py,Paraguay,departamento,2025-07-01,5,
py,Paraguay,departamento,2025-08-01,16,
py,Paraguay,departamento,2025-09-01,64,484
py,Paraguay,departamento,2025-10-01,51,469
py,Paraguay,departamento,2025-11-01,53,594
py,Paraguay,departamento,2025-12-01,60,514
py,Paraguay,departamento,2026-01-01,78,587
py,Paraguay,departamento,2026-02-01,53,496
py,Paraguay,departamento,2026-03-01,70,547
py,Paraguay,departamento,2026-04-01,48,540
py,Paraguay,departamento,2026-05-01,56,472
py,Paraguay,departamento,2026-06-01,67,520
py,Paraguay,departamento,2026-07-01,68,628
py,Paraguay,departamento,2026-08-01,46,645
py,Paraguay,departamento,2026-09-01,36,571
py,Paraguay,duplex,2024-02-01,3,
py,Paraguay,duplex,2024-03-01,2,
py,Paraguay,duplex,2024-04-01,1,
py,Paraguay,duplex,2024-05-01,2,
py,Paraguay,duplex,2024-07-01,1,
py,Paraguay,duplex,2024-08-01,1,
py,Paraguay,duplex,2024-10-01,1,
py,Paraguay,duplex,2024-11-01,1,
py,Paraguay,duplex,2025-01-01,1,
py,Paraguay,duplex,2025-02-01,1,
py,Paraguay,duplex,2025-04-01,1,
py,Paraguay,duplex,2025-06-01,3,
py,Paraguay,duplex,2025-07-01,2,
py,Paraguay,duplex,2025-08-01,8,
py,Paraguay,duplex,2025-09-01,18,
py,Paraguay,duplex,2025-10-01,4,
py,Paraguay,duplex,2025-11-01,17,
py,Paraguay,duplex,2025-12-01,18,
py,Paraguay,duplex,2026-01-01,17,
py,Paraguay,duplex,2026-02-01,9,
py,Paraguay,duplex,2026-03-01,21,538
py,Paraguay,duplex,2026-04-01,21,701
py,Paraguay,duplex,2026-05-01,19,
py,Paraguay,duplex,2026-06-01,18,
py,Paraguay,duplex,2026-07-01,18,
py,Paraguay,duplex,2026-08-01,13,
py,Paraguay,duplex,2026-09-01,10,
py,Paraguay,edificio,2024-03-01,1,
py,Paraguay,edificio,2025-10-01,1,
py,Paraguay,edificio,2025-11-01,1,
py,Paraguay,edificio,2026-02-01,1,
py,Paraguay,edificio,2026-03-01,2,
py,Paraguay,edificio,2026-04-01,2,
py,Paraguay,edificio,2026-05-01,1,
py,Paraguay,edificio,2026-06-01,1,
py,Paraguay,edificio,2026-08-01,1,
py,Paraguay,local,2024-04-01,1,
py,Paraguay,local,2024-07-01,4,
py,Paraguay,local,2024-08-01,2,
py,Paraguay,local,2024-09-01,4,
py,Paraguay,local,2024-11-01,1,
py,Paraguay,local,2025-02-01,1,
py,Paraguay,local,2025-04-01,1,
py,Paraguay,local,2025-05-01,1,
py,Paraguay,local,2025-06-01,2,
py,Paraguay,local,2025-07-01,4,
py,Paraguay,local,2025-08-01,11,
py,Paraguay,local,2025-09-01,22,561
py,Paraguay,local,2025-10-01,25,500
py,Paraguay,local,2025-11-01,22,779
py,Paraguay,local,2025-12-01,16,
py,Paraguay,local,2026-01-01,16,
py,Paraguay,local,2026-02-01,21,452
py,Paraguay,local,2026-03-01,15,
py,Paraguay,local,2026-04-01,17,
py,Paraguay,local,2026-05-01,19,
py,Paraguay,local,2026-06-01,12,
py,Paraguay,local,2026-07-01,19,
py,Paraguay,local,2026-08-01,18,
py,Paraguay,local,2026-09-01,7,
py,Paraguay,deposito,2024-05-01,1,
py,Paraguay,deposito,2024-10-01,2,
py,Paraguay,deposito,2024-11-01,1,
py,Paraguay,deposito,2025-07-01,3,
py,Paraguay,deposito,2025-08-01,5,
py,Paraguay,deposito,2025-09-01,5,
py,Paraguay,deposito,2025-10-01,7,
py,Paraguay,deposito,2025-11-01,9,
py,Paraguay,deposito,2025-12-01,6,
py,Paraguay,deposito,2026-01-01,9,
py,Paraguay,deposito,2026-02-01,8,
py,Paraguay,deposito,2026-03-01,9,
py,Paraguay,deposito,2026-04-01,3,
py,Paraguay,deposito,2026-05-01,4,
py,Paraguay,deposito,2026-06-01,10,
py,Paraguay,deposito,2026-07-01,3,
py,Paraguay,deposito,2026-08-01,3,
py,Paraguay,deposito,2026-09-01,5,
py,Paraguay,otro,2024-08-01,1,
py,Paraguay,otro,2025-08-01,1,
py,Paraguay,otro,2025-09-01,7,
py,Paraguay,otro,2025-10-01,13,
py,Paraguay,otro,2025-11-01,9,
py,Paraguay,otro,2025-12-01,8,
py,Paraguay,otro,2026-01-01,3,
py,Paraguay,otro,2026-02-01,13,
py,Paraguay,otro,2026-03-01,8,
py,Paraguay,otro,2026-04-01,3,
py,Paraguay,otro,2026-05-01,6,
py,Paraguay,otro,2026-06-01,6,
py,Paraguay,otro,2026-07-01,7,
py,Paraguay,otro,2026-08-01,9,
py,Paraguay,otro,2026-09-01,7,
py,Paraguay,oficina,2025-05-01,1,
py,Paraguay,oficina,2025-06-01,1,
py,Paraguay,oficina,2025-08-01,2,
py,Paraguay,oficina,2025-09-01,8,
py,Paraguay,oficina,2025-10-01,10,
py,Paraguay,oficina,2025-11-01,9,
py,Paraguay,oficina,2025-12-01,10,
py,Paraguay,oficina,2026-01-01,5,
py,Paraguay,oficina,2026-02-01,11,
py,Paraguay,oficina,2026-03-01,9,
py,Paraguay,oficina,2026-04-01,9,
py,Paraguay,oficina,2026-05-01,3,
py,Paraguay,oficina,2026-06-01,6,
py,Paraguay,oficina,2026-07-01,7,
py,Paraguay,oficina,2026-08-01,5,
py,Paraguay,oficina,2026-09-01,5,
py,Paraguay,terreno,2025-08-01,2,
py,Paraguay,terreno,2025-09-01,3,
py,Paraguay,terreno,2025-10-01,3,
py,Paraguay,terreno,2025-11-01,1,
py,Paraguay,terreno,2025-12-01,1,
py,Paraguay,terreno,2026-02-01,1,
py,Paraguay,terreno,2026-03-01,1,
py,Paraguay,terreno,2026-04-01,1,
py,Paraguay,terreno,2026-05-01,2,
py,Paraguay,terreno,2026-07-01,1,
py,Paraguay,terreno,2026-08-01,1,
py,Paraguay,terreno,2026-09-01,1,
py,Paraguay,quinta,2025-09-01,1,
py,Paraguay,quinta,2026-07-01,1,
d:asuncion,Asunción,departamento,2024-02-01,1,
d:asuncion,Asunción,departamento,2024-03-01,4,
d:asuncion,Asunción,departamento,2024-04-01,4,
d:asuncion,Asunción,departamento,2024-05-01,1,
