basis,segment,kind,department,training_closes,exact_scored_closes,exact_median_ape,exact_mape,exact_band_80_low,exact_band_80_high,exact_per_m2_baseline_median_ape,exact_chance_beats_baseline,exact_confidence,exact_published,exact_why_not,barrio_scored_closes,barrio_median_ape,barrio_mape,barrio_band_80_low,barrio_band_80_high,barrio_per_m2_baseline_median_ape,barrio_chance_beats_baseline,barrio_confidence,barrio_published,barrio_why_not,city_scored_closes,city_median_ape,city_mape,city_band_80_low,city_band_80_high,city_per_m2_baseline_median_ape,city_chance_beats_baseline,city_confidence,city_published,city_why_not
sale,casa|alto parana,casa,Alto Paraná,51,39,0.3623,0.3947,-0.3612,1.0488,0.3372,0.44,,0,"39 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",45,0.3638,0.3986,-0.3212,1.6696,0.3372,0.423,,0,"45 held-out closes across the three folds, needs 60"
sale,casa|asuncion,casa,Asunción,105,87,0.2384,0.2821,-0.3148,0.5449,0.3254,0.992,50,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",90,0.2569,0.3582,-0.3931,0.9089,0.3536,0.93,28,1,
sale,casa|boqueron,casa,Boquerón,11,9,0.3066,0.4246,-0.2965,1.0424,0.446,,,0,"11 training closes, needs 30",0,,,,,,,,0,"11 training closes, needs 30",10,0.4133,0.5443,-0.5439,1.0263,0.4841,0.69,,0,"11 training closes, needs 30"
sale,casa|caaguazu,casa,Caaguazú,1,1,0.2679,0.2679,-0.2113,-0.2113,0.931,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2679,0.2679,-0.2113,-0.2113,0.931,,,0,"1 training closes, needs 30"
sale,casa|caazapa,casa,Caazapá,1,1,0.4301,0.4301,-0.3007,-0.3007,0.0817,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.4301,0.4301,-0.3007,-0.3007,0.0817,,,0,"1 training closes, needs 30"
sale,casa|central,casa,Central,223,183,0.2633,0.3535,-0.3968,0.6412,0.298,0.935,42,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",195,0.2876,0.3925,-0.4087,0.6984,0.2993,0.832,,0,"passes today's read (median error 28.8% against 29.9%, chance 83%); publishes if the next daily run reads the same (stable gate, pending since 2026-09-25)"
sale,casa|concepcion,casa,Concepción,1,1,2.1062,2.1062,-0.6781,-0.6781,3.8223,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,2.1062,2.1062,-0.6781,-0.6781,3.8223,,,0,"1 training closes, needs 30"
sale,casa|cordillera,casa,Cordillera,31,26,0.2722,0.3178,-0.2777,0.8469,0.3579,0.843,,0,"26 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",28,0.274,0.3388,-0.2356,1.1507,0.3398,0.713,,0,"28 held-out closes across the three folds, needs 60"
sale,casa|itapua,casa,Itapúa,26,23,0.4435,0.4006,-0.3727,0.981,0.3809,0.461,,0,"26 training closes, needs 30",0,,,,,,,,0,"26 training closes, needs 30",26,0.3197,0.4279,-0.4299,1.1786,0.4021,0.667,,0,"26 training closes, needs 30"
sale,casa|paraguari,casa,Paraguarí,1,1,0.5677,0.5677,-0.3621,-0.3621,0.1852,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.5677,0.5677,-0.3621,-0.3621,0.1852,,,0,"1 training closes, needs 30"
sale,departamento|alto parana,departamento,Alto Paraná,78,31,0.2516,0.2564,-0.2609,0.7167,0.3675,0.932,,0,"31 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",70,0.1827,0.2253,-0.1674,0.6998,0.2884,0.989,,0,"passes today's read (median error 18.3% against 28.8%, chance 99%); publishes if the next daily run reads the same (stable gate, pending since 2026-09-25)"
sale,departamento|asuncion,departamento,Asunción,494,234,0.1755,0.2579,-0.3317,0.3599,0.2215,0.944,63,1,,3,0.1603,0.2307,0.0735,0.8056,0.2121,,,0,"3 held-out closes across the three folds, needs 60",417,0.1873,0.2756,-0.2699,0.5176,0.1814,0.314,,0,"does not beat the per-m2 baseline across the folds (median error 18.7% against 18.1%, chance of beating it 31%, needs 80%)"
sale,departamento|boqueron,departamento,Boquerón,2,1,0.1998,0.1998,0.2498,0.2498,6.556,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.2405,0.2405,-0.1726,0.2028,36.5373,,,0,"2 training closes, needs 30"
sale,departamento|central,departamento,Central,126,79,0.1833,0.2303,-0.2834,0.5176,0.2577,0.984,52,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",120,0.2463,0.386,-0.2758,0.8295,0.2493,0.509,,0,"does not beat the per-m2 baseline across the folds (median error 24.6% against 24.9%, chance of beating it 51%, needs 80%)"
sale,departamento|cordillera,departamento,Cordillera,2,2,0.1401,0.1401,0.1541,0.1719,0.2203,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.1605,0.1605,0.16,0.2251,0.2203,,,0,"2 training closes, needs 30"
sale,departamento|itapua,departamento,Itapúa,40,32,0.2081,0.2632,-0.2315,1.3025,0.2066,0.51,,0,"32 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",37,0.2733,0.2799,-0.0984,1.1071,0.193,0.074,,0,"37 held-out closes across the three folds, needs 60"
sale,deposito|alto parana,deposito,Alto Paraná,2,2,0.5322,0.5322,0.8294,1.7167,0.4794,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.554,0.554,0.8881,1.9766,0.4794,,,0,"2 training closes, needs 30"
sale,deposito|asuncion,deposito,Asunción,1,1,0.3468,0.3468,0.531,0.531,0.3933,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.0355,0.0355,0.0368,0.0368,0.3933,,,0,"1 training closes, needs 30"
sale,deposito|central,deposito,Central,11,8,0.5702,0.5388,0.1479,3.6739,0.4984,,,0,"11 training closes, needs 30",0,,,,,,,,0,"11 training closes, needs 30",9,0.5401,0.539,0.3223,3.3438,0.4472,,,0,"11 training closes, needs 30"
sale,deposito|itapua,deposito,Itapúa,1,0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30"
sale,duplex|alto parana,duplex,Alto Paraná,4,4,0.1405,0.1429,-0.0871,0.1851,0.3063,,,0,"4 training closes, needs 30",0,,,,,,,,0,"4 training closes, needs 30",4,0.1416,0.1402,-0.0239,0.2227,0.3063,,,0,"4 training closes, needs 30"
sale,duplex|asuncion,duplex,Asunción,13,11,0.2609,0.2608,-0.1037,0.6086,0.3577,0.8,,0,"13 training closes, needs 30",0,,,,,,,,0,"13 training closes, needs 30",11,0.2932,0.2703,-0.0735,0.9003,0.3577,0.698,,0,"13 training closes, needs 30"
sale,duplex|central,duplex,Central,78,64,0.2027,0.2312,-0.2571,0.5884,0.2014,0.464,,0,"does not beat the per-m2 baseline across the folds (median error 20.3% against 20.1%, chance of beating it 46%, needs 80%)",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",66,0.1886,0.2418,-0.2303,0.4536,0.2178,0.671,,0,"does not beat the per-m2 baseline across the folds (median error 18.9% against 21.8%, chance of beating it 67%, needs 80%)"
sale,duplex|itapua,duplex,Itapúa,9,8,0.1251,0.1282,-0.1028,0.3193,0.209,,,0,"9 training closes, needs 30",0,,,,,,,,0,"9 training closes, needs 30",8,0.1333,0.1413,-0.1121,0.2964,0.209,,,0,"9 training closes, needs 30"
sale,local|alto parana,local,Alto Paraná,2,2,0.2879,0.2879,0.3412,0.4778,0.4852,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.2697,0.2697,0.3165,0.4292,0.4852,,,0,"2 training closes, needs 30"
