rank,place,barrio,kind,area_m2,area_figure,asking_usd,asking_native,currency,estimate_usd,estimate_low_usd,estimate_high_usd,confidence,comps,segment,rank_score,listings,days_listed,source,url,department_market,city_market
1,Asunción,Virgen de la Asunción,departamento,67.85,built,133631,133631,USD,241924.15,145468.99,339347.01,56,8,departamento|asuncion,6064416,1,204,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063002-289,Asunción,
2,Asunción,,departamento,74,built,90000,90000,USD,168875.54,101544.86,236881.72,56,8,departamento|asuncion,4417030,1,,uprop,https://uprop.com.py/detail/departamento-1-dormitorio-en-garden-park-las-lomas-1d2a73d6-a7f4-4989-8405-825746411466,Asunción,
3,Asunción,,departamento,95,built,60746.52,360000000,PYG,138180.17,83087.73,193825.32,56,8,departamento|asuncion,4336284,3,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-edificio-esmeralda-e5901140-cf01-4b48-9e69-238f1963a5e0,Asunción,
4,"San Lorenzo, Central",,casa,300,built,101244.21,600000000,PYG,203898.17,121258.24,305908.42,42,8,casa|central,4311466,1,118,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143080226-4,Central,San Lorenzo
5,Asunción,,departamento,65,built,59059.12,350000000,PYG,135016.22,81185.25,189387.25,56,8,departamento|asuncion,4253597,2,,uprop,https://uprop.com.py/detail/departamento-en-edificio-quinta-ruotti-tercer-piso-id-44869-a15bdbf1-feea-4963-a2ea-944c60569ac4,Asunción,
6,Asunción,Ycuá Satí,departamento,100,total,109681.22,650000000,PYG,185339.72,111444.77,259976.03,56,8,departamento|asuncion,4236876,1,1478,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143038002-155,Asunción,
7,Asunción,,departamento,122.22,built,92807.19,550000000,PYG,167828.61,100915.34,235413.19,56,8,departamento|asuncion,4201200,3,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-barrio-san-roque-f50a89e0-fc04-4970-bd59-b92bdf572b55,Asunción,
8,"Fernando de la Mora, Central",,casa,380,built,165365.54,980000000,PYG,264148.19,157088.93,396301.53,42,8,casa|central,4148871,1,986,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143094018-7,Central,Fernando de la Mora
9,Asunción,,departamento,115,built,105000,105000,USD,175791.25,105703.28,246582.39,56,8,departamento|asuncion,3964310,2,,uprop,https://uprop.com.py/detail/departamento-amoblado-de-2-dormitorios-con-cochera-937e3fef-ddf4-44b6-b67c-49a6423afe9c,Asunción,
10,Asunción,,departamento,86.53,built,89432.38,530000000,PYG,160167.31,96308.6,224666.69,56,8,departamento|asuncion,3961156,3,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-barrio-mburicao-b4c6f74d-2057-423b-a976-e561de74bb5c,Asunción,
