cell_deg,lat,lon,n_sale,asking_median_usd,asking_n,casa_asking_usd_m2,casa_n,departamento_asking_usd_m2,departamento_n,department,city
0.01,-24.67,-56.46,6,119000,6,,0,,0,San Pedro,
0.01,-25.46,-56.01,7,100000,6,,3,,0,Caaguazú,
0.01,-25.45,-56.44,7,125000,7,,3,,0,Caaguazú,
0.01,-25.46,-56.85,8,100000,8,,1,,0,Cordillera,
0.01,-25.42,-56.93,6,54000,6,,0,,0,Cordillera,
0.01,-25.38,-56.96,7,119000,6,,0,,0,Cordillera,
0.01,-25.16,-56.93,6,23000,6,,0,,0,Cordillera,
0.01,-25.05,-57.1,15,22000,15,,0,,0,Cordillera,
0.01,-25.25,-57.24,15,22000,15,,1,,0,Cordillera,Altos
0.01,-25.24,-57.24,8,30000,8,,0,,0,Cordillera,Altos
0.01,-25.18,-57.23,8,48000,8,,2,,0,Cordillera,
0.01,-25.18,-57.31,14,51000,13,,0,,1,Cordillera,
0.01,-25.24,-57.31,5,76000,5,,0,,0,Cordillera,San Bernardino
0.01,-25.23,-57.31,6,75000,6,,0,,0,Cordillera,San Bernardino
0.01,-25.22,-57.31,7,70000,7,,0,,0,Cordillera,San Bernardino
0.01,-25.23,-57.32,12,69000,12,,0,,0,Cordillera,San Bernardino
0.01,-25.24,-57.32,5,118000,5,,0,,0,Cordillera,San Bernardino
0.01,-25.25,-57.32,8,52000,8,,0,,0,Cordillera,San Bernardino
0.01,-25.21,-57.42,10,28000,10,,0,,0,Central,Luque
0.01,-25.24,-57.43,6,,2,,0,,0,Central,Luque
0.01,-25.23,-57.43,5,,4,,0,,0,Central,Luque
0.01,-25.23,-57.42,5,37000,5,,0,,0,Central,Luque
0.01,-25.22,-57.44,7,,2,,1,,0,Central,Luque
0.01,-25.22,-57.45,5,,4,,0,,0,Central,Luque
0.01,-25.22,-57.46,6,25000,5,,1,,0,Central,Luque
0.01,-25.23,-57.46,12,57000,11,828,6,,0,Central,Luque
0.01,-25.23,-57.45,9,61000,8,,2,,0,Central,Luque
0.01,-25.24,-57.45,18,59000,13,,2,,0,Central,Luque
0.01,-25.25,-57.44,5,,2,,1,,0,Central,Luque
0.01,-25.25,-57.46,15,57000,10,,4,,0,Central,Luque
0.01,-25.24,-57.46,22,59000,21,905,13,,0,Central,Luque
0.01,-25.24,-57.48,17,76000,13,,2,,1,Central,Luque
0.01,-25.24,-57.47,11,61000,6,,3,,0,Central,Luque
0.01,-25.25,-57.47,18,71000,16,1090,7,,0,Central,Luque
0.01,-25.25,-57.48,15,71000,15,906,9,,0,Central,Luque
0.01,-25.25,-57.49,31,101000,26,1001,11,,3,Central,Luque
0.01,-25.25,-57.5,49,150000,38,933,13,,3,Central,Luque
0.01,-25.24,-57.5,41,116000,38,1205,15,,0,Central,Luque
0.01,-25.24,-57.49,15,82000,13,,4,,4,Central,Luque
0.01,-25.23,-57.5,11,325000,8,,1,,0,Central,Luque
0.01,-25.23,-57.49,9,78000,8,,1,,0,Central,Luque
0.01,-25.23,-57.47,14,31000,8,,2,,0,Central,Luque
0.01,-25.23,-57.48,58,73000,39,888,29,,0,Central,Luque
0.01,-25.22,-57.47,26,63000,20,616,9,,0,Central,Luque
0.01,-25.22,-57.48,20,73000,16,985,15,,0,Central,Luque
0.01,-25.22,-57.49,7,,4,,0,,0,Central,Luque
0.01,-25.22,-57.5,28,233000,24,,4,,0,Central,Luque
0.01,-25.21,-57.5,10,196000,8,,2,,0,Central,Luque
0.01,-25.21,-57.47,17,60000,10,,4,,0,Central,Limpio
0.01,-25.21,-57.46,5,,3,,2,,0,Central,Limpio
0.01,-25.2,-57.46,15,59000,11,985,6,,0,Central,Limpio
0.01,-25.19,-57.44,7,55000,7,,4,,0,Central,Limpio
0.01,-25.19,-57.48,6,,2,,1,,0,Central,Limpio
0.01,-25.2,-57.48,6,48000,6,,2,,0,Central,Limpio
