bank,item,kind,department,city,built_m2,land_m2,asking_base_gross_usd,asking_base_net_usd,price_check,first_seen,lat,lon
caja_bancaria,14-1747-02,casa,Asunción,Asunción,,,907,824,1,2026-09-08,,
caja_bancaria,00-2722-07,terreno,Central,Limpio,,,2605,2368,0,2026-09-08,,
caja_bancaria,00-2722-01,terreno,Central,Limpio,,,2605,2368,0,2026-09-08,,
bnf,429-L2-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L12-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L8-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L13-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L12-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L7-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L9-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L3-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L1-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L15-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L14-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L8-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L16-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L15-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L8-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L11-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L5-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L4-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L15-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L1-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L12-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L14-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L9-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L6-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L1-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L4-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L5-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L11-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L5-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L2-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L6-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L7-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L14-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L3-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L7-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L4-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L13-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L9-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L10-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L13-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L16-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L10-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L3-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,469-L10-MA,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L11-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,429-L6-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,469-L2-MD,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60402,-56.2346
bnf,429-L16-MG,terreno,Caazapá,Yuty,,610,3083,2802,0,2026-09-08,-26.60507,-56.23498
bnf,195-L13-M2-A,terreno,Canindeyú,Francisco Caballero Álvarez,,600,3511,3192,0,2026-09-08,-24.02209,-54.75604
bnf,937-L5-MC,terreno,Concepción,Yby Yaú,,504,3768,3425,0,2026-09-08,-22.95474,-56.53622
bnf,937-L6-MC,terreno,Concepción,Yby Yaú,,504,3768,3425,0,2026-09-08,-22.95467,-56.53631
solar,9,terreno,Concepción,Yby Yau,,384,4218,3835,0,2026-09-08,,
solar,8,terreno,Concepción,Yby Yau,,384,4218,3835,0,2026-09-08,,
solar,10,terreno,Concepción,Yby Yau,,384,4218,3835,0,2026-09-08,,
solar,7,terreno,Concepción,Yby Yau,,384,4218,3835,0,2026-09-08,,
solar,20,terreno,San Pedro,Santa Rosa del Aguaray,,375,6411,5829,0,2026-09-08,,
solar,19,terreno,San Pedro,Santa Rosa del Aguaray,,375,6411,5829,0,2026-09-08,,
solar,18,terreno,San Pedro,Santa Rosa del Aguaray,,375,6411,5829,0,2026-09-08,,
caja_bancaria,00-0135-00,casa,Caaguazú,Santa Rosa del Mbutuy,,,6749,6135,1,2026-09-08,,
atlas,10736,terreno,Concepción,Concepción,,360,6749,6135,0,2026-09-08,-23.4336,-57.39596
bnf,1338-L3-MVI,casa,Itapúa,San Cosme y Damián,84,450,7878,7161,1,2026-09-08,-27.3169,-56.34217
caja_bancaria,01-1506-00,terreno,Central,Itauguá,,,8267,7516,0,2026-09-08,,
basa,6b17da8345f2dbf5,terreno,Central,Itá,,363,8436,7669,0,2026-09-08,,
basa,3ee1725ba4027ba9,terreno,Central,Itá,,365,8436,7669,0,2026-09-08,,
solar,4,terreno,Caaguazú,Caaguazú,,1200,8436,7669,0,2026-09-08,,
solar,22,terreno,San Pedro,Santa Rosa del Aguaray,,377,8858,8053,0,2026-09-08,,
basa,0b9ed33f28d93eda,terreno,Central,Itá,,395,10123,9203,0,2026-09-08,,
basa,0b9ed33f28d93eda-2,terreno,Central,Itá,,395,10123,9203,0,2026-09-08,,
